v,re,s,ra,cohesion_degree,average_speed,average_direction
1.0,0.2,1.0,0.2,0.84087356782,0.989407995632,0.989147281084
1.2,0.2,1.0,0.2,0.837462113027,1.18847947128,1.18817319312
1.4,0.2,1.0,0.2,0.834610448882,1.38751007434,1.38717444727
1.5999999999999999,0.2,1.0,0.2,0.830945927742,1.58531882834,1.58487639066
1.7999999999999998,0.2,1.0,0.2,0.826987251258,1.78383979866,1.78332064999
1.9999999999999998,0.2,1.0,0.2,0.821592767781,1.98257668872,1.98178682965
2.1999999999999997,0.2,1.0,0.2,0.822143410276,2.18227527383,2.18152277206
2.4,0.2,1.0,0.2,0.818419348811,2.38030337296,2.37931081207
2.6,0.2,1.0,0.2,0.8118484418,2.57757865394,2.57620498214
2.8000000000000003,0.2,1.0,0.2,0.803074572903,2.77431626042,2.7725433951
